,Text Tweet
189,"Utamakan Keselamatan  bersama dengan tidak mudik, Kerjakeras Maju Negeriku https://t.co/JUlGtBxIcR"
190,"Salah satu cara penyebaran Covid-19 adalah ketika orang sibuk bepergian, termasuk mudik. Jadi, sebaiknya kita taati… https://t.co/yb7tTB3rwp"
191,"Polisi sudah mengantisipasi warga yg curi start mudik. Jika sayang keluarga di kampung halaman, sebaiknya berlebara… https://t.co/PxdnpCOYKi"
192,"Keadaan yang dimaksud, antara lain mudik yang dikarenakan keluarga sakit, anggota keluarga meninggal, kondisi hamil… https://t.co/I5fhf7xylD"
193,"Tidak perlu bepergian kecuali ada hal mendesak, tahan juga keinginan mudik atau berwisata di momen lebaran. Kita bi… https://t.co/BvPX9nvY9a"
194,"KerjaKeras Maju Negeriku
Presiden Jokowi peserta seluruh pejabat tidak akan mudik lebaran 2021. https://t.co/7WvkmD3O61"
195,"Kunci utama menekan penyebaran pandemi adalah dg tidak bepergian, termasuk mudik. Apalagi polisi juga sudah mengant… https://t.co/EV3DuZAoWn"
196,"STOP MUDIK!!!

Sayangi keluarga kalian dikampung https://t.co/RPEcbVtB5P"
197,Dalam Surat Edaran (SE) Nomor M/7/HK.04/IV/2021 tentang Pembatasan Kegiatan Mudik Hari Raya Idul Fitri Tahun 1442 H… https://t.co/79Nqi3qKFJ
198,Tidak mudik tahun ini adalah tindakan bijak demi menekan penyebaran virus. Kita bisa rayakan Idul Fitri di rumah sa… https://t.co/kn2fxtjzHs
199,@slsab_ nk mudik tak di bolehkan ? knp wisata di perbolehkan ? berkerumunan pastinya saya pikir itu sama saja
